state	district	race	dem_16	gop_16	dem_12	gop_12	dem_08	gop_08	dem_04	gop_04	dem_00	gop_00
AK	00	AK-00	37	51	41	55	38	59	36	61	28	59
AL	01	AL-01	34	63	37	62	39	61	35	64	38	60
AL	02	AL-02	33	65	36	63	36	63	33	67	38	61
AL	03	AL-03	32	65	37	62	43	56	41	58	47	52
AL	04	AL-04	17	80	24	75	23	76	28	71	37	61
AL	05	AL-05	31	64	35	64	38	61	39	60	44	54
AL	06	AL-06	26	70	25	74	23	76	22	78	25	74
AL	07	AL-07	70	28	73	27	72	27	64	35	66	33
AR	01	AR-01	30	65	36	61	38	59	47	52	50	48
AR	02	AR-02	42	52	43	55	44	54	48	51	48	49
AR	03	AR-03	31	62	32	66	34	64	36	62	37	60
AR	04	AR-04	31	64	36	62	39	58	48	51	49	48
AZ	01	AZ-01	46	47	48	50	44	54	46	54	46	51
AZ	02	AZ-02	49	44	48	50	38	61	38	61	41	57
AZ	03	AZ-03	62	32	61	37	42	57	41	58	43	55
AZ	04	AZ-04	27	66	31	67	66	33	62	38	63	35
AZ	05	AZ-05	36	56	35	64	47	52	45	54	43	54
AZ	06	AZ-06	42	52	39	60	38	61	35	64	37	61
AZ	07	AZ-07	71	22	72	27	57	42	57	43	58	38
AZ	08	AZ-08	36	57	37	62	46	52	46	53	46	50
AZ	09	AZ-09	54	38	51	47	NA	NA	NA	NA	NA	NA
CA	01	CA-01	36	55	40	56	66	32	60	38	52	39
CA	02	CA-02	68	23	69	27	43	55	37	62	33	61
CA	03	CA-03	53	40	54	43	49	49	41	58	41	55
CA	04	CA-04	39	53	40	58	44	54	37	61	36	59
CA	05	CA-05	69	24	70	27	70	28	61	38	60	35
CA	06	CA-06	68	24	69	28	76	22	70	28	62	30
CA	07	CA-07	51	40	51	47	72	27	67	32	66	31
CA	08	CA-08	40	55	42	56	85	12	85	14	77	15
CA	09	CA-09	55	37	58	40	88	10	86	13	79	13
CA	10	CA-10	48	45	51	47	65	33	59	40	55	41
CA	11	CA-11	70	22	68	30	54	44	45	54	45	53
CA	12	CA-12	85	9	84	13	74	24	72	27	67	29
CA	13	CA-13	86	7	88	9	74	24	71	28	67	30
CA	14	CA-14	77	18	74	24	73	25	68	30	62	34
CA	15	CA-15	69	24	68	30	68	30	63	36	60	36
CA	16	CA-16	57	36	59	39	70	29	63	36	64	33
CA	17	CA-17	74	20	72	26	72	26	66	33	60	33
CA	18	CA-18	73	20	68	29	59	39	49	50	53	44
CA	19	CA-19	73	22	71	27	46	52	38	61	39	58
CA	20	CA-20	70	23	71	26	60	39	51	48	55	44
CA	21	CA-21	55	39	55	44	42	56	34	65	37	61
CA	22	CA-22	42	51	42	57	38	60	31	68	33	64
CA	23	CA-23	36	58	36	62	66	32	58	40	54	40
CA	24	CA-24	56	36	54	43	51	48	43	56	43	54
CA	25	CA-25	50	43	48	50	49	48	40	59	42	56
CA	26	CA-26	57	35	54	44	51	47	44	55	44	53
CA	27	CA-27	66	28	63	35	66	32	59	39	60	36
CA	28	CA-28	72	22	70	27	76	22	71	28	73	24
CA	29	CA-29	78	17	77	21	68	30	61	37	58	38
CA	30	CA-30	69	26	65	32	70	28	66	33	68	28
CA	31	CA-31	58	37	57	41	80	18	77	22	77	19
CA	32	CA-32	67	28	65	33	68	30	62	37	67	31
CA	33	CA-33	68	27	61	37	87	12	83	16	83	14
CA	34	CA-34	84	11	83	14	75	23	69	30	72	26
CA	35	CA-35	68	27	67	31	84	14	79	20	82	17
CA	36	CA-36	52	43	51	48	64	34	59	40	57	39
CA	37	CA-37	86	10	85	13	80	19	74	25	76	22
CA	38	CA-38	67	27	65	33	71	27	65	34	70	28
CA	39	CA-39	51	43	47	51	65	32	59	40	62	36
CA	40	CA-40	82	13	82	17	47	51	39	60	41	56
CA	41	CA-41	61	33	62	36	44	54	37	62	41	56
CA	42	CA-42	41	53	41	57	45	53	37	62	39	59
